policy,policy_name,tie_threshold_ratio,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,week_count,completed,avg_completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,,,,,,,7,1.0,150.28571428571428,24.164285714285718,5.917988785714287,972.1718058428572,413.44215730446,504.803367766573,18.571428571428573,2.0,0.0,0.0,0.0
optionA_tie_0.01,carbonscaler_price_tiebreak,0.01,,,,,,7,1.0,150.28571428571428,24.14571428571429,5.917008814285715,971.3841276428572,406.69357642987717,490.82981473999723,18.428571428571427,2.0,0.07478871103187587,1.546049370802556,2.4919846792665075
optionA_tie_0.03,carbonscaler_price_tiebreak,0.03,,,,,,7,1.0,149.85714285714286,24.338571428571434,5.980247100000001,979.8762777857144,403.3481705234272,499.18437814905866,18.0,2.0,-0.906702161096523,2.445017031475703,0.5534371989584572
optionA_tie_0.05,carbonscaler_price_tiebreak,0.05,,,,,,7,1.0,153.28571428571428,24.28857142857143,5.9510778857142865,980.4605104285713,399.76365250558285,478.8196918106272,18.571428571428573,2.0,-0.7928561804841483,3.2564118776135778,5.159542663221238
optionA_tie_0.10,carbonscaler_price_tiebreak,0.1,,,,,,7,1.0,152.85714285714286,24.587142857142858,6.046425300000001,1002.0449345571429,370.1178811165458,445.98947837016004,18.0,2.0,-2.8735618778588354,9.94454163574308,11.12880994624425
optionA_tie_0.20,carbonscaler_price_tiebreak,0.2,,,,,,7,1.0,156.57142857142858,24.67428571428572,6.077554457142859,1025.5388853428574,339.03330153927857,413.65284996867007,17.714285714285715,2.0,-5.280862531228069,17.19320682071353,16.91448412517024
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,,0.8,0.01,0.5,,optionB_budget_sweep,7,0.42857142857142855,156.0,23.54714285714286,5.646646114285716,979.5668843142859,321.6091876810415,384.37994864679865,22.428571428571427,1.8571428571428572,-0.6122588489368656,21.7617612713864,23.335039730670143
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,,0.85,0.01,0.5,,optionB_budget_sweep,7,0.5714285714285714,158.0,24.13714285714286,5.783902371428573,1001.117496257143,336.73028763738864,396.3197708192015,23.142857142857142,1.7142857142857142,-3.0987908647244837,17.911265965276186,20.80594899021176
optionB_budget0.90_beta0.0025_gamma0.50,carbonscaler_budget,,0.9,0.0025,0.5,,optionB_beta_sweep,7,0.8571428571428571,154.66666666666666,24.44142857142857,5.8530204857142865,1010.451841457143,367.40924403021864,427.69304791536007,23.571428571428573,1.7142857142857142,-4.3184272176784955,11.084347686201527,15.063396428798915
optionB_budget0.90_beta0.0050_gamma0.50,carbonscaler_budget,,0.9,0.005,0.5,,optionB_beta_sweep,7,1.0,156.28571428571428,24.584285714285716,5.887089557142858,1015.6183507285715,355.9134899804186,415.5873715393715,23.714285714285715,1.7142857142857142,-4.699602003134432,13.295010827594316,17.0116724618029
optionB_budget0.90_beta0.0100_gamma0.50,carbonscaler_budget,,0.9,0.01,0.5,,optionB_beta_sweep,7,1.0,156.42857142857142,24.565714285714286,5.886109585714286,1012.087737257143,345.43293212598854,405.41752454988006,23.571428571428573,1.7142857142857142,-4.341372371305784,15.644691625798417,18.871594399586012
optionB_budget0.90_beta0.01_gamma0.10,carbonscaler_budget,,0.9,0.01,0.1,,optionB_gamma_sweep,7,1.0,156.28571428571428,24.54714285714286,5.885129614285716,1010.4912210857144,344.99626208520004,405.00081684011144,23.428571428571427,1.7142857142857142,-4.190487841524443,15.72439092303186,18.93498194529604
optionB_budget0.90_beta0.01_gamma0.25,carbonscaler_budget,,0.9,0.01,0.25,,optionB_gamma_sweep,7,1.0,156.42857142857142,24.565714285714286,5.886109585714286,1012.087737257143,345.43293212598854,405.41752454988006,23.571428571428573,1.7142857142857142,-4.341372371305784,15.644691625798417,18.871594399586012
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,,0.9,0.01,0.5,,optionB_budget_sweep,7,1.0,156.42857142857142,24.565714285714286,5.886109585714286,1012.087737257143,345.43293212598854,405.41752454988006,23.571428571428573,1.7142857142857142,-4.341372371305784,15.644691625798417,18.871594399586012
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,,0.9,0.01,0.5,,optionB_gamma_sweep,7,1.0,156.42857142857142,24.565714285714286,5.886109585714286,1012.087737257143,345.43293212598854,405.41752454988006,23.571428571428573,1.7142857142857142,-4.341372371305784,15.644691625798417,18.871594399586012
optionB_budget0.90_beta0.01_gamma0.75,carbonscaler_budget,,0.9,0.01,0.75,,optionB_gamma_sweep,7,1.0,156.42857142857142,24.565714285714286,5.886109585714286,1012.087737257143,345.43293212598854,405.41752454988006,23.571428571428573,1.7142857142857142,-4.341372371305784,15.644691625798417,18.871594399586012
optionB_budget0.90_beta0.01_gamma1.00,carbonscaler_budget,,0.9,0.01,1.0,,optionB_gamma_sweep,7,1.0,156.42857142857142,24.565714285714286,5.886109585714286,1012.087737257143,345.43293212598854,405.41752454988006,23.571428571428573,1.7142857142857142,-4.341372371305784,15.644691625798417,18.871594399586012
optionB_budget0.90_beta0.0200_gamma0.50,carbonscaler_budget,,0.9,0.02,0.5,,optionB_beta_sweep,7,1.0,156.14285714285714,24.65285714285714,5.917238742857144,1044.300660342857,299.21346267688716,363.02443016979004,23.285714285714285,1.8571428571428572,-7.387875257690299,26.862358774314988,27.15119840413836
optionB_budget0.90_beta0.0400_gamma0.50,carbonscaler_budget,,0.9,0.04,0.5,,optionB_beta_sweep,7,1.0,156.14285714285714,24.702857142857145,5.946407957142858,1083.3057289285719,260.02448984411143,329.65028463969855,22.714285714285715,2.0,-11.28869938709752,36.076555085125726,33.647507551974805
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,,1.0,0.01,0.5,,optionB_budget_sweep,7,1.0,156.42857142857142,24.565714285714286,5.886109585714286,1012.087737257143,345.43293212598854,405.41752454988006,23.571428571428573,1.7142857142857142,-4.341372371305784,15.644691625798417,18.871594399586012
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,,1.1,0.01,0.5,,optionB_budget_sweep,7,1.0,156.42857142857142,24.565714285714286,5.886109585714286,1012.087737257143,345.43293212598854,405.41752454988006,23.571428571428573,1.7142857142857142,-4.341372371305784,15.644691625798417,18.871594399586012
optionB_budget1.20_beta0.01_gamma0.50,carbonscaler_budget,,1.2,0.01,0.5,,optionB_budget_sweep,7,1.0,156.42857142857142,24.565714285714286,5.886109585714286,1012.087737257143,345.43293212598854,405.41752454988006,23.571428571428573,1.7142857142857142,-4.341372371305784,15.644691625798417,18.871594399586012
optionC_lambda0.50,carbonscaler_weighted,,,,,0.5,,7,1.0,155.28571428571428,24.470000000000006,6.066774771428572,1570.1585062714287,109.03409841627857,133.38177807266572,16.142857142857142,2.0,-63.419481943793805,73.34212509407429,73.25001953593176
optionC_lambda0.60,carbonscaler_weighted,,,,,0.6,,7,1.0,158.42857142857142,24.52571428571429,6.069714685714287,1379.490167057143,142.04407079961,165.92089636538145,16.571428571428573,2.0,-41.83867638726988,65.14393841938974,66.91654541087526
optionC_lambda0.70,carbonscaler_weighted,,,,,0.7,,7,1.0,159.28571428571428,24.55714285714286,6.097903928571429,1230.7351408285715,179.16957982156717,242.02228176448287,15.857142857142858,2.0,-26.685282134464508,55.98337460108296,51.33120190627806
optionC_lambda0.80,carbonscaler_weighted,,,,,0.8,,7,1.0,156.0,24.681428571428576,6.13099302857143,1128.1600757142858,223.39744784632288,283.57218694257006,15.857142857142858,2.0,-16.068612372864212,45.47466656316657,42.81685181017589
optionC_lambda0.90,carbonscaler_weighted,,,,,0.9,,7,1.0,155.0,24.718571428571433,6.132952971428573,1046.2019064,289.9786007513315,368.32753136621574,16.142857142857142,2.0,-7.863480374450249,28.565151671061937,25.781773253557308
