policy,policy_name,tie_threshold_ratio,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,week_count,completion_rate,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,,,,,,,7,1.0,110.28571428571429,24.48285714285715,5.9032285714285715,174.3531428571429,193.95552,266.1880634285714,15.285714285714286,2.0,0.0,0.0,0.0
optionA_tie_0.01,carbonscaler_price_tiebreak,0.01,,,,,,7,1.0,110.28571428571429,24.48285714285715,5.9032285714285715,174.22585714285717,192.06980571428576,262.49327342857146,15.285714285714286,2.0,-0.015770783313407182,0.6958493211923541,1.323996247294232
optionA_tie_0.03,carbonscaler_price_tiebreak,0.03,,,,,,7,1.0,110.28571428571429,24.607142857142865,5.935285714285714,175.86737142857146,191.94686657142861,263.6052744285715,15.285714285714286,2.0,-0.6268461981360586,0.6609609399268862,0.7565115738037677
optionA_tie_0.05,carbonscaler_price_tiebreak,0.05,,,,,,7,1.0,110.14285714285714,24.48285714285715,5.9032285714285715,174.42480000000003,189.8252305714286,263.7653967142857,15.285714285714286,2.0,-0.1600248247996912,1.7370752451927718,0.7864775722764631
optionA_tie_0.10,carbonscaler_price_tiebreak,0.1,,,,,,7,1.0,109.85714285714286,24.57000000000001,5.9334,175.9626,191.08073914285714,265.45122764285713,15.0,2.0,-0.617196527881595,1.3233040017379893,0.09987681549977737
optionA_tie_0.20,carbonscaler_price_tiebreak,0.2,,,,,,7,1.0,109.57142857142857,24.607142857142865,5.935285714285714,178.06234285714285,183.09222171428573,258.87270828571434,15.285714285714286,2.0,-1.594804501047472,6.007211533655322,1.9533146561667192
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,,0.8,0.01,0.5,,optionB_budget_sweep,7,0.14285714285714285,167.0,21.201428571428576,5.041457142857142,148.38308571428573,153.72856714285714,213.89107142857145,15.857142857142858,2.0,14.593551967187022,20.771084695412007,18.831141347121275
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,,0.85,0.01,0.5,,optionB_budget_sweep,7,0.2857142857142857,152.0,22.80428571428572,5.4318,164.06091428571432,162.76734257142857,221.3147294285715,16.714285714285715,2.0,6.088775236472076,16.335342088930677,15.49973125418228
optionB_budget0.90_beta0.0025_gamma0.50,carbonscaler_budget,,0.9,0.0025,0.5,,optionB_beta_sweep,7,0.2857142857142857,165.5,23.090000000000003,5.4978,167.5589142857143,172.66325057142856,238.37628650000005,17.0,2.0,4.426003008210967,11.144246081913684,8.393417785875045
optionB_budget0.90_beta0.0050_gamma0.50,carbonscaler_budget,,0.9,0.005,0.5,,optionB_beta_sweep,7,0.2857142857142857,165.5,23.21428571428572,5.529857142857142,168.20100000000002,172.72409314285716,240.58230035714288,17.0,2.0,3.8716368660620435,11.106385528790538,7.018897886807003
optionB_budget0.90_beta0.0100_gamma0.50,carbonscaler_budget,,0.9,0.01,0.5,,optionB_beta_sweep,7,0.2857142857142857,165.5,23.232857142857146,5.530799999999999,168.77802857142862,171.05284114285715,236.12139492857145,17.142857142857142,2.0,3.6799008660785555,12.015222699616592,8.272219006191207
optionB_budget0.90_beta0.01_gamma0.10,carbonscaler_budget,,0.9,0.01,0.1,,optionB_gamma_sweep,7,0.2857142857142857,165.5,23.071428571428577,5.496857142857142,165.84668571428574,171.02896800000002,233.71744078571433,16.857142857142858,2.0,5.9041739887891795,12.028595829807925,11.831343928384232
optionB_budget0.90_beta0.01_gamma0.25,carbonscaler_budget,,0.9,0.01,0.25,,optionB_gamma_sweep,7,0.2857142857142857,165.5,23.232857142857146,5.530799999999999,168.77802857142862,171.05284114285715,236.12139492857145,17.142857142857142,2.0,3.6799008660785555,12.015222699616592,8.272219006191207
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,,0.9,0.01,0.5,,optionB_budget_sweep,7,0.2857142857142857,165.5,23.232857142857146,5.530799999999999,168.77802857142862,171.05284114285715,236.12139492857145,17.142857142857142,2.0,3.6799008660785555,12.015222699616592,8.272219006191207
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,,0.9,0.01,0.5,,optionB_gamma_sweep,7,0.2857142857142857,165.5,23.232857142857146,5.530799999999999,168.77802857142862,171.05284114285715,236.12139492857145,17.142857142857142,2.0,3.6799008660785555,12.015222699616592,8.272219006191207
optionB_budget0.90_beta0.01_gamma0.75,carbonscaler_budget,,0.9,0.01,0.75,,optionB_gamma_sweep,7,0.2857142857142857,165.5,23.232857142857146,5.530799999999999,168.77802857142862,171.05284114285715,236.12139492857145,17.142857142857142,2.0,3.6799008660785555,12.015222699616592,8.272219006191207
optionB_budget0.90_beta0.01_gamma1.00,carbonscaler_budget,,0.9,0.01,1.0,,optionB_gamma_sweep,7,0.2857142857142857,165.5,23.232857142857146,5.530799999999999,168.77802857142862,171.05284114285715,236.12139492857145,17.142857142857142,2.0,3.6799008660785555,12.015222699616592,8.272219006191207
optionB_budget0.90_beta0.0200_gamma0.50,carbonscaler_budget,,0.9,0.02,0.5,,optionB_beta_sweep,7,0.42857142857142855,116.0,23.481428571428577,5.594914285714284,169.2683142857143,170.94960771428572,233.34306521428576,17.142857142857142,2.0,3.6717895609877096,12.06531201189014,12.169408927635114
optionB_budget0.90_beta0.0400_gamma0.50,carbonscaler_budget,,0.9,0.04,0.5,,optionB_beta_sweep,7,0.5714285714285714,121.25,23.692857142857147,5.657142857142857,172.0252285714286,167.33806885714284,232.9363048571429,16.857142857142858,2.0,2.144242929099732,14.306590019649878,12.247995000399206
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,,1.0,0.01,0.5,,optionB_budget_sweep,7,1.0,110.28571428571429,24.56857142857143,5.8560857142857135,181.24448571428573,183.0471437142857,244.02590928571433,17.857142857142858,2.0,-4.69125106028604,6.273033443386259,4.608140685393089
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,,1.1,0.01,0.5,,optionB_budget_sweep,7,1.0,110.57142857142857,24.587142857142858,5.857028571428571,177.11005714285716,187.670604,246.44954321428577,18.0,2.0,-1.5515073723144843,3.203854231329782,3.649609863381952
