policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct,week_slug
carbonscaler_base,carbonscaler,cluster1,"Ontario, Canada",ontario,nbody100k,True,88.0,24.44000000000001,5.9268,131.78879999999998,178.515744,67.54340450000002,14,2,,0,,,,,,0.0,0.0,0.0,ontario_week01_2026-04-06_to_2026-04-12
price_only,price_only,cluster1,"Ontario, Canada",ontario,nbody100k,True,167.0,24.44000000000001,5.9268,288.2814000000001,99.40227,80.8584535,14,2,,0,,,,,,-118.74499198717956,44.317365083496504,-19.713322268201583,ontario_week01_2026-04-06_to_2026-04-12
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,88.0,24.44000000000001,5.9268,131.78879999999998,178.515744,67.54340450000002,14,2,0.01,11,,,,,,0.0,0.0,0.0,ontario_week01_2026-04-06_to_2026-04-12
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,88.0,24.44000000000001,5.9268,131.78879999999998,178.515744,67.54340450000002,14,2,0.03,17,,,,,,0.0,0.0,0.0,ontario_week01_2026-04-06_to_2026-04-12
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,87.0,24.31000000000001,5.9202,131.1552,175.356324,67.46409450000002,13,2,0.05,20,,,,,,0.4807692307692102,1.769827091553343,0.1174207912483988,ontario_week01_2026-04-06_to_2026-04-12
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,87.0,24.31000000000001,5.9202,131.1552,175.356324,67.46409450000002,13,2,0.1,23,,,,,,0.4807692307692102,1.769827091553343,0.1174207912483988,ontario_week01_2026-04-06_to_2026-04-12
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,87.0,24.31000000000001,5.9202,131.1552,175.356324,67.46409450000002,13,2,0.2,24,,,,,,0.4807692307692102,1.769827091553343,0.1174207912483988,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,19.090000000000003,4.573799999999999,97.944,142.598412,59.55362050000001,13,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,25.68108974358973,20.119980005797142,11.829110568449376,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,21.090000000000003,5.035799999999999,116.886,151.376412,61.988938000000005,15,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,11.308092948717928,15.202766653455518,8.223551272130525,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.960000000000004,5.4912,135.70260000000002,160.49748,79.89149850000003,16,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,-2.9697516025641315,10.09337529355395,-18.28171690694093,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,88.0,24.700000000000006,5.9399999999999995,139.0488,178.33662,82.60677700000002,16,2,,0,1.0,0.01,0.5,,optionB_budget_sweep,-5.508814102564118,0.1003407296109421,-22.301766710619383,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,89.0,24.700000000000006,5.9399999999999995,134.1978,183.94068,82.78329950000003,16,2,,0,1.1,0.01,0.5,,optionB_budget_sweep,-1.827924679487195,-3.0389117948050575,-22.56311347172321,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget1.20_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,89.0,24.700000000000006,5.9399999999999995,134.1978,183.94068,82.78329950000003,16,2,,0,1.2,0.01,0.5,,optionB_budget_sweep,-1.827924679487195,-3.0389117948050575,-22.56311347172321,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.0025_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.960000000000004,5.4912,135.70260000000002,160.49748,79.89149850000003,16,2,,0,0.9,0.0025,0.5,,optionB_beta_sweep,-2.9697516025641315,10.09337529355395,-18.28171690694093,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.0050_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.960000000000004,5.4912,135.70260000000002,160.49748,79.89149850000003,16,2,,0,0.9,0.005,0.5,,optionB_beta_sweep,-2.9697516025641315,10.09337529355395,-18.28171690694093,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.0100_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.960000000000004,5.4912,135.70260000000002,160.49748,79.89149850000003,16,2,,0,0.9,0.01,0.5,,optionB_beta_sweep,-2.9697516025641315,10.09337529355395,-18.28171690694093,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.0200_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,21.830000000000005,5.2536,115.1832,160.330368,63.06381950000001,14,2,,0,0.9,0.02,0.5,,optionB_beta_sweep,12.600160256410234,10.186987204893263,6.632157548410242,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.0400_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,21.830000000000005,5.2536,115.1832,160.330368,63.06381950000001,14,2,,0,0.9,0.04,0.5,,optionB_beta_sweep,12.600160256410234,10.186987204893263,6.632157548410242,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.01_gamma0.10,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,21.830000000000005,5.2536,115.1832,160.330368,63.06381950000001,14,2,,0,0.9,0.01,0.1,,optionB_gamma_sweep,12.600160256410234,10.186987204893263,6.632157548410242,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.01_gamma0.25,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.960000000000004,5.4912,135.70260000000002,160.49748,79.89149850000003,16,2,,0,0.9,0.01,0.25,,optionB_gamma_sweep,-2.9697516025641315,10.09337529355395,-18.28171690694093,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.960000000000004,5.4912,135.70260000000002,160.49748,79.89149850000003,16,2,,0,0.9,0.01,0.5,,optionB_gamma_sweep,-2.9697516025641315,10.09337529355395,-18.28171690694093,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.01_gamma0.75,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.960000000000004,5.4912,135.70260000000002,160.49748,79.89149850000003,16,2,,0,0.9,0.01,0.75,,optionB_gamma_sweep,-2.9697516025641315,10.09337529355395,-18.28171690694093,ontario_week01_2026-04-06_to_2026-04-12
optionB_budget0.90_beta0.01_gamma1.00,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.960000000000004,5.4912,135.70260000000002,160.49748,79.89149850000003,16,2,,0,0.9,0.01,1.0,,optionB_gamma_sweep,-2.9697516025641315,10.09337529355395,-18.28171690694093,ontario_week01_2026-04-06_to_2026-04-12
optionC_lambda0.50,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,167.0,24.44000000000001,5.9268,188.1132,124.176228,60.55974100000001,14,2,,0,,,,0.5,,-42.73838141025644,30.43962105661672,10.339519530733767,ontario_week01_2026-04-06_to_2026-04-12
optionC_lambda0.60,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,167.0,24.44000000000001,5.9268,156.6906,142.91633399999998,55.989257500000015,14,2,,0,,,,0.6,,-18.89523237179488,19.941888150772872,17.106254986006817,ontario_week01_2026-04-06_to_2026-04-12
optionC_lambda0.70,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,167.0,24.44000000000001,5.9268,145.7742,154.360998,69.38377600000001,14,2,,0,,,,0.7,,-10.61197916666669,13.530877142130398,-2.724724217891606,ontario_week01_2026-04-06_to_2026-04-12
optionC_lambda0.80,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,88.0,24.44000000000001,5.9268,133.3596,171.693984,63.70840850000001,14,2,,0,,,,0.8,,-1.1919070512820664,3.8213772338197862,5.677824546140563,ontario_week01_2026-04-06_to_2026-04-12
