policy,policy_name,tie_threshold_ratio,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,family,short_label,sort_key,week_count,completion_rate,avg_total_carbon_grams,std_total_carbon_grams,avg_total_day_ahead_cost,std_total_day_ahead_cost,avg_total_real_time_cost,std_total_real_time_cost,avg_carbon_savings_vs_base_pct,std_carbon_savings_vs_base_pct,avg_day_ahead_cost_savings_vs_base_pct,std_day_ahead_cost_savings_vs_base_pct,avg_real_time_cost_savings_vs_base_pct,std_real_time_cost_savings_vs_base_pct,avg_completion_slot,std_completion_slot
carbonscaler_base,carbonscaler,,,,,,,Baseline,Base,0.0,7,1.0,174.3531428571429,82.28724283668069,193.95552,77.2805076306975,266.1880634285714,148.78308666678114,0.0,0.0,0.0,0.0,0.0,0.0,110.28571428571429,65.28326555791125
optionA_tie_0.01,carbonscaler_price_tiebreak,0.01,,,,,,Option A,A-0.01,0.01,7,1.0,174.22585714285717,81.68848621355923,192.06980571428576,75.09938899484489,262.49327342857146,148.08090219966883,-0.015770783313407182,0.3457213954490164,0.6958493211923541,1.5527640139204872,1.323996247294232,3.146347124235496,110.28571428571429,65.28326555791125
optionA_tie_0.03,carbonscaler_price_tiebreak,0.03,,,,,,Option A,A-0.03,0.03,7,1.0,175.86737142857146,83.9822455770606,191.94686657142861,74.50793047024618,263.6052744285715,147.5141526380484,-0.6268461981360586,1.3614230812471892,0.6609609399268862,2.311141809070778,0.7565115738037677,3.556007131104795,110.28571428571429,65.28326555791125
optionA_tie_0.05,carbonscaler_price_tiebreak,0.05,,,,,,Option A,A-0.05,0.05,7,1.0,174.42480000000003,81.19163653997867,189.8252305714286,74.25202616247351,263.7653967142857,147.7042821157643,-0.1600248247996912,1.9840893550813643,1.7370752451927718,2.7081013131225,0.7864775722764631,2.959026558602996,110.14285714285714,65.34122887179419
optionA_tie_0.10,carbonscaler_price_tiebreak,0.1,,,,,,Option A,A-0.1,0.1,7,1.0,175.9626,84.40323307409497,191.08073914285714,75.7935660778139,265.45122764285713,147.36174438279718,-0.617196527881595,1.414794059507218,1.3233040017379893,1.5513805661962343,0.09987681549977737,1.2632462305658245,109.85714285714286,65.74807619854381
optionA_tie_0.20,carbonscaler_price_tiebreak,0.2,,,,,,Option A,A-0.2,0.2,7,1.0,178.06234285714285,86.62003015621075,183.09222171428573,76.36364865926357,258.87270828571434,142.91122111138037,-1.594804501047472,1.9321111510567017,6.007211533655322,4.006019049062992,1.9533146561667192,3.8968938485782156,109.57142857142857,65.91372427362187
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,,0.8,0.01,0.5,,optionB_budget_sweep,Option B,B-0.8|b0.01|g0.5,801.5,7,0.14285714285714285,148.38308571428573,70.82500886898234,153.72856714285714,61.43701187735882,213.89107142857145,116.85932960106081,14.593551967187022,9.561057352035895,20.771084695412007,0.6544926444924706,18.831141347121275,7.2158047892846735,167.0,
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,,0.85,0.01,0.5,,optionB_budget_sweep,Option B,B-0.85|b0.01|g0.5,851.5,7,0.2857142857142857,164.06091428571432,79.80065319539328,162.76734257142857,66.66650648411587,221.3147294285715,118.4398522015203,6.088775236472076,6.405306185738333,16.335342088930677,1.7609448583228158,15.49973125418228,8.751711979479351,152.0,21.213203435596427
optionB_budget0.90_beta0.0025_gamma0.50,carbonscaler_budget,,0.9,0.0025,0.5,,optionB_beta_sweep,Option B,B-0.9|b0.0025|g0.5,900.75,7,0.2857142857142857,167.5589142857143,82.98011798070324,172.66325057142856,70.2241543563733,238.37628650000005,136.41384391845668,4.426003008210967,5.956712416819615,11.144246081913684,1.9900678439900918,8.393417785875045,14.302098928568032,165.5,2.1213203435596424
optionB_budget0.90_beta0.0050_gamma0.50,carbonscaler_budget,,0.9,0.005,0.5,,optionB_beta_sweep,Option B,B-0.9|b0.005|g0.5,901.0,7,0.2857142857142857,168.20100000000002,82.41857971064535,172.72409314285716,70.19306804551269,240.58230035714288,134.2287663793217,3.8716368660620435,5.4545488812316245,11.106385528790538,1.9779224514863378,7.018897886807003,12.550646269247245,165.5,2.1213203435596424
optionB_budget0.90_beta0.01_gamma0.10,carbonscaler_budget,,0.9,0.01,0.1,,optionB_gamma_sweep,Option B,B-0.9|b0.01|g0.1,901.1,7,0.2857142857142857,165.84668571428574,85.31691846223367,171.02896800000002,70.3391666860918,233.71744078571433,135.5512543181718,5.9041739887891795,5.666716040068541,12.028595829807925,3.6651739198424287,11.831343928384232,7.806928566886424,165.5,2.1213203435596424
optionB_budget0.90_beta0.01_gamma0.25,carbonscaler_budget,,0.9,0.01,0.25,,optionB_gamma_sweep,Option B,B-0.9|b0.01|g0.25,901.25,7,0.2857142857142857,168.77802857142862,83.62175472283343,171.05284114285715,70.3349586249118,236.12139492857145,132.12630597077134,3.6799008660785555,5.656097165985804,12.015222699616592,3.673175363098888,8.272219006191207,13.885136563166279,165.5,2.1213203435596424
optionB_budget0.90_beta0.0100_gamma0.50,carbonscaler_budget,,0.9,0.01,0.5,,optionB_beta_sweep,Option B,B-0.9|b0.01|g0.5,901.5,7,0.2857142857142857,168.77802857142862,83.62175472283343,171.05284114285715,70.3349586249118,236.12139492857145,132.12630597077134,3.6799008660785555,5.656097165985804,12.015222699616592,3.673175363098888,8.272219006191207,13.885136563166279,165.5,2.1213203435596424
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,,0.9,0.01,0.5,,optionB_budget_sweep,Option B,B-0.9|b0.01|g0.5,901.5,7,0.2857142857142857,168.77802857142862,83.62175472283343,171.05284114285715,70.3349586249118,236.12139492857145,132.12630597077134,3.6799008660785555,5.656097165985804,12.015222699616592,3.673175363098888,8.272219006191207,13.885136563166279,165.5,2.1213203435596424
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,,0.9,0.01,0.5,,optionB_gamma_sweep,Option B,B-0.9|b0.01|g0.5,901.5,7,0.2857142857142857,168.77802857142862,83.62175472283343,171.05284114285715,70.3349586249118,236.12139492857145,132.12630597077134,3.6799008660785555,5.656097165985804,12.015222699616592,3.673175363098888,8.272219006191207,13.885136563166279,165.5,2.1213203435596424
optionB_budget0.90_beta0.01_gamma0.75,carbonscaler_budget,,0.9,0.01,0.75,,optionB_gamma_sweep,Option B,B-0.9|b0.01|g0.75,901.75,7,0.2857142857142857,168.77802857142862,83.62175472283343,171.05284114285715,70.3349586249118,236.12139492857145,132.12630597077134,3.6799008660785555,5.656097165985804,12.015222699616592,3.673175363098888,8.272219006191207,13.885136563166279,165.5,2.1213203435596424
optionB_budget0.90_beta0.01_gamma1.00,carbonscaler_budget,,0.9,0.01,1.0,,optionB_gamma_sweep,Option B,B-0.9|b0.01|g1.0,902.0,7,0.2857142857142857,168.77802857142862,83.62175472283343,171.05284114285715,70.3349586249118,236.12139492857145,132.12630597077134,3.6799008660785555,5.656097165985804,12.015222699616592,3.673175363098888,8.272219006191207,13.885136563166279,165.5,2.1213203435596424
optionB_budget0.90_beta0.0200_gamma0.50,carbonscaler_budget,,0.9,0.02,0.5,,optionB_beta_sweep,Option B,B-0.9|b0.02|g0.5,902.5,7,0.42857142857142855,169.2683142857143,85.50861017377974,170.94960771428572,70.31994848338041,233.34306521428576,136.36875149068905,3.6717895609877096,6.73829215192136,12.06531201189014,3.6266725585388278,12.169408927635114,9.330305867940893,116.0,85.74963556773871
optionB_budget0.90_beta0.0400_gamma0.50,carbonscaler_budget,,0.9,0.04,0.5,,optionB_beta_sweep,Option B,B-0.9|b0.04|g0.5,904.5,7,0.5714285714285714,172.0252285714286,86.73376290122386,167.33806885714284,71.05663645800728,232.9363048571429,136.94179460035593,2.144242929099732,7.14889166104271,14.306590019649878,5.605765832081741,12.247995000399206,10.969447968430202,121.25,70.79724570913758
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,,1.0,0.01,0.5,,optionB_budget_sweep,Option B,B-1.0|b0.01|g0.5,1001.5,7,1.0,181.24448571428573,81.93183827628566,183.0471437142857,78.59822109244054,244.02590928571433,135.75710684260739,-4.69125106028604,7.871657531609898,6.273033443386259,7.750008908759487,4.608140685393089,14.89066243647192,110.28571428571429,65.28326555791125
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,,1.1,0.01,0.5,,optionB_budget_sweep,Option B,B-1.1|b0.01|g0.5,1101.5,7,1.0,177.11005714285716,83.82793040212108,187.670604,78.11485510906134,246.44954321428577,136.4311845500749,-1.5515073723144843,1.2833042326653423,3.203854231329782,9.307746153252525,3.649609863381952,15.00409603066249,110.57142857142857,64.98937642122017
optionB_budget1.20_beta0.01_gamma0.50,carbonscaler_budget,,1.2,0.01,0.5,,optionB_budget_sweep,Option B,B-1.2|b0.01|g0.5,1201.5,7,1.0,177.11005714285716,83.82793040212108,187.670604,78.11485510906134,246.44954321428577,136.4311845500749,-1.5515073723144843,1.2833042326653423,3.203854231329782,9.307746153252525,3.649609863381952,15.00409603066249,110.57142857142857,64.98937642122017
optionC_lambda0.50,carbonscaler_weighted,,,,,0.5,,Option C,C-0.5,0.5,7,1.0,212.9518285714286,91.35632305191422,133.45313142857142,69.30672567462342,137.84898285714286,79.84922053114234,-24.2161708111895,12.964797987951473,33.83512457792942,13.857783124283973,41.8889823849962,26.63857144207751,118.71428571428571,67.11858730563958
optionC_lambda0.60,carbonscaler_weighted,,,,,0.6,,Option C,C-0.6,0.6,7,1.0,200.38448571428574,87.00384028657257,140.19037371428573,68.68532328420339,144.20391935714287,83.30591825268758,-16.540289025343245,8.050493971704848,29.618357757248422,13.890876010050068,40.23573241797544,26.199784267689445,118.71428571428571,67.11858730563958
optionC_lambda0.70,carbonscaler_weighted,,,,,0.7,,Option C,C-0.7,0.7,7,1.0,191.6875714285715,85.2759975257148,146.98554514285712,68.79374752868752,170.13196200000002,69.06416643740093,-11.01564527401275,5.6736990178274604,25.580944645896857,13.450867170460404,28.753309766762776,21.597998194742896,119.71428571428571,67.42332505820788
optionC_lambda0.80,carbonscaler_weighted,,,,,0.8,,Option C,C-0.8,0.8,7,1.0,184.52657142857146,83.75101667207218,156.65409257142855,69.95043380019399,188.15190507142856,77.07008787149026,-6.511265134374633,5.429570403619826,20.150210256624323,13.274061379690895,22.675181794668294,19.567148043446714,109.42857142857143,65.64514996772964
optionC_lambda0.90,carbonscaler_weighted,,,,,0.9,,Option C,C-0.9,0.9,7,1.0,177.15908571428574,82.3802771047259,174.35367085714284,77.70583038105534,231.60322271428572,106.59277463224248,-1.7558067334828373,2.134251588688683,11.028912731492833,10.71183080968442,8.717705133208124,10.109238167177743,109.57142857142857,65.91372427362187
price_only,price_only,,,,,,,Price Only,price_only,0.0,7,1.0,394.2123428571429,221.48807531626358,102.73792885714285,37.743471133581146,115.2062952857143,56.45932256527754,-148.45626378989024,170.3283761616657,45.88259997207372,14.45487466790556,43.0850798550697,38.70564001874168,135.42857142857142,38.021297290058996
