policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct,week_slug,family,short_label,selection_score
optionC_lambda0.60,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,167.0,24.44000000000001,5.9268,156.6906,142.91633399999998,55.989257500000015,14,2,,0,,,,0.6,,-18.89523237179488,19.941888150772872,17.106254986006817,ontario_week01_2026-04-06_to_2026-04-12,Option C,C-0.6,0.08125761330701045
optionC_lambda0.80,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,88.0,24.44000000000001,5.9268,133.3596,171.693984,63.70840850000001,14,2,,0,,,,0.8,,-1.1919070512820664,3.8213772338197862,5.677824546140563,ontario_week01_2026-04-06_to_2026-04-12,Option C,C-0.8,0.15106077812527732
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,87.0,24.31000000000001,5.9202,131.1552,175.356324,67.46409450000002,13,2,0.05,20,,,,,,0.4807692307692102,1.769827091553343,0.1174207912483988,ontario_week01_2026-04-06_to_2026-04-12,Option A,A-0.05,0.214130383911468
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,87.0,24.31000000000001,5.9202,131.1552,175.356324,67.46409450000002,13,2,0.1,23,,,,,,0.4807692307692102,1.769827091553343,0.1174207912483988,ontario_week01_2026-04-06_to_2026-04-12,Option A,A-0.1,0.214130383911468
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,87.0,24.31000000000001,5.9202,131.1552,175.356324,67.46409450000002,13,2,0.2,24,,,,,,0.4807692307692102,1.769827091553343,0.1174207912483988,ontario_week01_2026-04-06_to_2026-04-12,Option A,A-0.2,0.214130383911468
optionC_lambda0.60,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,134.0,24.44000000000001,5.9268,143.08140000000006,55.350702,47.514852000000005,14,2,,0,,,,0.6,,-20.211822113785093,42.72487558417558,83.09013040527053,ontario_week02_2026-04-13_to_2026-04-19,Option C,C-0.6,0.11893947345449951
optionC_lambda0.50,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,134.0,24.44000000000001,5.9268,161.89140000000006,45.341736,43.20030550000001,14,2,,0,,,,0.5,,-36.01530442497507,53.08183136269047,84.62561700797312,ontario_week02_2026-04-13_to_2026-04-19,Option C,C-0.5,0.17127478677130323
optionC_lambda0.70,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,135.0,24.31000000000001,5.9202,130.24440000000004,64.261494,169.54504050000003,13,2,,0,,,,0.7,,-9.426638571587011,33.50427490518992,39.661297371017255,ontario_week02_2026-04-13_to_2026-04-19,Option C,C-0.7,0.3175370236777772
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,138.0,24.44000000000001,5.9268,119.922,87.96248999999999,269.11381200000005,14,2,,0,1.0,0.01,0.5,,optionB_budget_sweep,-0.7541310857269456,8.979247297067497,4.226167703089088,ontario_week02_2026-04-13_to_2026-04-19,Option B,B-1.0|b0.01|g0.5,0.48007058136442926
optionC_lambda0.80,carbonscaler_weighted,cluster1,"Ontario, Canada",ontario,nbody100k,True,136.0,24.44000000000001,5.9268,124.54200000000004,73.22006999999999,261.609392,14,2,,0,,,,0.8,,-4.6356881446157265,24.234228881408345,6.8968855574576615,ontario_week02_2026-04-13_to_2026-04-19,Option C,C-0.8,0.4802442050699059
