policy,slot_index,scale,carbon_intensity,day_ahead_price,real_time_price
carbonscaler_base,0,0,92.0,10.14,12.723333333333334
carbonscaler_base,1,0,96.0,9.36,5.970833333333334
carbonscaler_base,2,0,98.0,9.06,7.86
carbonscaler_base,3,0,100.0,10.08,14.696666666666665
carbonscaler_base,4,0,98.0,14.33,34.67416666666667
carbonscaler_base,5,0,98.0,19.15,26.945000000000004
carbonscaler_base,6,0,96.0,35.55,36.14
carbonscaler_base,7,0,93.0,35.33,32.5175
carbonscaler_base,8,0,86.0,30.29,33.76916666666666
carbonscaler_base,9,0,79.0,30.48,14.690833333333332
carbonscaler_base,10,2,67.0,31.4,11.320833333333333
carbonscaler_base,11,2,62.0,33.38,13.204166666666666
carbonscaler_base,12,2,60.0,34.47,2.6
carbonscaler_base,13,2,63.0,37.07,13.165
carbonscaler_base,14,2,62.0,36.14,17.45
carbonscaler_base,15,1,70.0,36.43,31.770833333333332
carbonscaler_base,16,1,75.0,46.88,55.70666666666667
carbonscaler_base,17,1,73.0,54.49,60.38666666666666
carbonscaler_base,18,1,75.0,74.91,244.5533333333333
carbonscaler_base,19,0,81.0,99.9,97.6475
carbonscaler_base,20,0,85.0,63.3,122.53583333333334
carbonscaler_base,21,0,85.0,43.0,28.940833333333334
carbonscaler_base,22,0,91.0,33.65,26.91
carbonscaler_base,23,0,95.0,34.59,21.63083333333333
carbonscaler_base,24,0,92.0,10.14,12.723333333333334
carbonscaler_base,25,0,92.0,9.36,5.970833333333334
carbonscaler_base,26,0,96.0,9.06,7.86
carbonscaler_base,27,0,98.0,10.08,14.696666666666665
carbonscaler_base,28,0,100.0,14.33,34.67416666666667
carbonscaler_base,29,0,98.0,19.15,26.945000000000004
carbonscaler_base,30,0,98.0,35.55,36.14
carbonscaler_base,31,0,96.0,35.33,32.5175
carbonscaler_base,32,0,93.0,30.29,33.76916666666666
carbonscaler_base,33,0,86.0,30.48,14.690833333333332
carbonscaler_base,34,0,79.0,31.4,11.320833333333333
carbonscaler_base,35,2,67.0,33.38,13.204166666666666
carbonscaler_base,36,2,62.0,34.47,2.6
carbonscaler_base,37,2,60.0,37.07,13.165
carbonscaler_base,38,2,63.0,36.14,17.45
carbonscaler_base,39,2,62.0,36.43,31.770833333333332
carbonscaler_base,40,1,70.0,46.88,55.70666666666667
carbonscaler_base,41,0,75.0,54.49,60.38666666666666
carbonscaler_base,42,1,73.0,74.91,244.5533333333333
carbonscaler_base,43,0,75.0,99.9,97.6475
carbonscaler_base,44,0,81.0,63.3,122.53583333333334
carbonscaler_base,45,0,85.0,43.0,28.940833333333334
carbonscaler_base,46,0,85.0,33.65,26.91
carbonscaler_base,47,0,91.0,34.59,21.63083333333333
price_only_,0,2,92.0,10.14,12.723333333333334
