policy,slot_index,scale,carbon_intensity,day_ahead_price,real_time_price
carbonscaler_base,0,0,92.0,28.0,29.0
carbonscaler_base,1,0,96.0,27.0,26.0
carbonscaler_base,2,0,98.0,26.0,25.0
carbonscaler_base,3,0,100.0,25.0,24.0
carbonscaler_base,4,0,98.0,25.0,25.0
carbonscaler_base,5,0,98.0,26.0,27.0
carbonscaler_base,6,0,96.0,29.0,31.0
carbonscaler_base,7,0,93.0,34.0,36.0
carbonscaler_base,8,0,86.0,39.0,41.0
carbonscaler_base,9,0,79.0,42.0,43.0
carbonscaler_base,10,2,67.0,40.0,39.0
carbonscaler_base,11,2,62.0,37.0,36.0
carbonscaler_base,12,2,60.0,35.0,34.0
carbonscaler_base,13,2,63.0,34.0,33.0
carbonscaler_base,14,2,62.0,33.0,32.0
carbonscaler_base,15,1,70.0,32.0,33.0
carbonscaler_base,16,1,75.0,34.0,35.0
carbonscaler_base,17,1,73.0,38.0,40.0
carbonscaler_base,18,1,75.0,41.0,43.0
carbonscaler_base,19,0,81.0,39.0,38.0
carbonscaler_base,20,0,85.0,35.0,34.0
carbonscaler_base,21,0,85.0,32.0,31.0
carbonscaler_base,22,0,91.0,30.0,29.0
carbonscaler_base,23,0,95.0,29.0,28.0
carbonscaler_base,24,0,92.0,28.0,29.0
carbonscaler_base,25,0,92.0,27.0,26.0
carbonscaler_base,26,0,96.0,26.0,25.0
carbonscaler_base,27,0,98.0,25.0,24.0
carbonscaler_base,28,0,100.0,25.0,25.0
carbonscaler_base,29,0,98.0,26.0,27.0
carbonscaler_base,30,0,98.0,29.0,31.0
carbonscaler_base,31,0,96.0,34.0,36.0
carbonscaler_base,32,0,93.0,39.0,41.0
carbonscaler_base,33,0,86.0,42.0,43.0
carbonscaler_base,34,0,79.0,40.0,39.0
carbonscaler_base,35,2,67.0,37.0,36.0
carbonscaler_base,36,2,62.0,35.0,34.0
carbonscaler_base,37,2,60.0,34.0,33.0
carbonscaler_base,38,2,63.0,33.0,32.0
carbonscaler_base,39,2,62.0,32.0,33.0
carbonscaler_base,40,1,70.0,34.0,35.0
carbonscaler_base,41,0,75.0,38.0,40.0
carbonscaler_base,42,1,73.0,41.0,43.0
carbonscaler_base,43,0,75.0,39.0,38.0
carbonscaler_base,44,0,81.0,35.0,34.0
carbonscaler_base,45,0,85.0,32.0,31.0
carbonscaler_base,46,0,85.0,30.0,29.0
carbonscaler_base,47,0,91.0,29.0,28.0
carbonscaler_price_tiebreak_0.05,0,0,92.0,28.0,29.0
