policy,slot_index,scale,carbon_intensity,day_ahead_price,real_time_price
carbonscaler_base,0,0,300.0,58.0,60.0
carbonscaler_base,1,0,290.0,55.0,57.0
carbonscaler_base,2,0,280.0,52.0,50.0
carbonscaler_base,3,0,270.0,49.0,47.0
carbonscaler_base,4,0,260.0,47.0,46.0
carbonscaler_base,5,0,250.0,45.0,44.0
carbonscaler_base,6,0,220.0,38.0,40.0
carbonscaler_base,7,0,180.0,30.0,33.0
carbonscaler_base,8,0,140.0,24.0,26.0
carbonscaler_base,9,1,100.0,18.0,17.0
carbonscaler_base,10,2,70.0,14.0,13.0
carbonscaler_base,11,2,50.0,11.0,10.0
carbonscaler_base,12,2,40.0,10.0,9.0
carbonscaler_base,13,2,45.0,11.0,12.0
carbonscaler_base,14,2,60.0,14.0,15.0
carbonscaler_base,15,2,90.0,19.0,21.0
carbonscaler_base,16,0,140.0,28.0,31.0
carbonscaler_base,17,0,200.0,40.0,46.0
carbonscaler_base,18,0,260.0,55.0,61.0
carbonscaler_base,19,0,300.0,64.0,70.0
carbonscaler_base,20,0,310.0,66.0,68.0
carbonscaler_base,21,0,305.0,63.0,62.0
carbonscaler_base,22,0,295.0,61.0,59.0
carbonscaler_base,23,0,290.0,59.0,58.0
carbonscaler_base,24,0,300.0,58.0,60.0
carbonscaler_base,25,0,290.0,55.0,57.0
carbonscaler_base,26,0,280.0,52.0,50.0
carbonscaler_base,27,0,270.0,49.0,47.0
carbonscaler_base,28,0,260.0,47.0,46.0
carbonscaler_base,29,0,250.0,45.0,44.0
carbonscaler_base,30,0,220.0,38.0,40.0
carbonscaler_base,31,0,180.0,30.0,33.0
carbonscaler_base,32,0,140.0,24.0,26.0
carbonscaler_base,33,1,100.0,18.0,17.0
carbonscaler_base,34,2,70.0,14.0,13.0
carbonscaler_base,35,2,50.0,11.0,10.0
carbonscaler_base,36,2,40.0,10.0,9.0
carbonscaler_base,37,2,45.0,11.0,12.0
carbonscaler_base,38,2,60.0,14.0,15.0
carbonscaler_base,39,2,90.0,19.0,21.0
carbonscaler_base,40,0,140.0,28.0,31.0
carbonscaler_base,41,0,200.0,40.0,46.0
carbonscaler_base,42,0,260.0,55.0,61.0
carbonscaler_base,43,0,300.0,64.0,70.0
carbonscaler_base,44,0,310.0,66.0,68.0
carbonscaler_base,45,0,305.0,63.0,62.0
carbonscaler_base,46,0,295.0,61.0,59.0
carbonscaler_base,47,0,290.0,59.0,58.0
carbonscaler_price_tiebreak_0.05,0,0,300.0,58.0,60.0
carbonscaler_price_tiebreak_0.05,1,0,290.0,55.0,57.0
carbonscaler_price_tiebreak_0.05,2,0,280.0,52.0,50.0
carbonscaler_price_tiebreak_0.05,3,0,270.0,49.0,47.0
carbonscaler_price_tiebreak_0.05,4,0,260.0,47.0,46.0
carbonscaler_price_tiebreak_0.05,5,0,250.0,45.0,44.0
carbonscaler_price_tiebreak_0.05,6,0,220.0,38.0,40.0
carbonscaler_price_tiebreak_0.05,7,0,180.0,30.0,33.0
carbonscaler_price_tiebreak_0.05,8,0,140.0,24.0,26.0
carbonscaler_price_tiebreak_0.05,9,1,100.0,18.0,17.0
carbonscaler_price_tiebreak_0.05,10,2,70.0,14.0,13.0
carbonscaler_price_tiebreak_0.05,11,2,50.0,11.0,10.0
carbonscaler_price_tiebreak_0.05,12,2,40.0,10.0,9.0
carbonscaler_price_tiebreak_0.05,13,2,45.0,11.0,12.0
carbonscaler_price_tiebreak_0.05,14,2,60.0,14.0,15.0
carbonscaler_price_tiebreak_0.05,15,2,90.0,19.0,21.0
carbonscaler_price_tiebreak_0.05,16,0,140.0,28.0,31.0
carbonscaler_price_tiebreak_0.05,17,0,200.0,40.0,46.0
carbonscaler_price_tiebreak_0.05,18,0,260.0,55.0,61.0
carbonscaler_price_tiebreak_0.05,19,0,300.0,64.0,70.0
carbonscaler_price_tiebreak_0.05,20,0,310.0,66.0,68.0
carbonscaler_price_tiebreak_0.05,21,0,305.0,63.0,62.0
carbonscaler_price_tiebreak_0.05,22,0,295.0,61.0,59.0
carbonscaler_price_tiebreak_0.05,23,0,290.0,59.0,58.0
carbonscaler_price_tiebreak_0.05,24,0,300.0,58.0,60.0
carbonscaler_price_tiebreak_0.05,25,0,290.0,55.0,57.0
carbonscaler_price_tiebreak_0.05,26,0,280.0,52.0,50.0
carbonscaler_price_tiebreak_0.05,27,0,270.0,49.0,47.0
carbonscaler_price_tiebreak_0.05,28,0,260.0,47.0,46.0
carbonscaler_price_tiebreak_0.05,29,0,250.0,45.0,44.0
carbonscaler_price_tiebreak_0.05,30,0,220.0,38.0,40.0
carbonscaler_price_tiebreak_0.05,31,0,180.0,30.0,33.0
carbonscaler_price_tiebreak_0.05,32,0,140.0,24.0,26.0
carbonscaler_price_tiebreak_0.05,33,1,100.0,18.0,17.0
carbonscaler_price_tiebreak_0.05,34,2,70.0,14.0,13.0
carbonscaler_price_tiebreak_0.05,35,2,50.0,11.0,10.0
carbonscaler_price_tiebreak_0.05,36,2,40.0,10.0,9.0
carbonscaler_price_tiebreak_0.05,37,2,45.0,11.0,12.0
carbonscaler_price_tiebreak_0.05,38,2,60.0,14.0,15.0
carbonscaler_price_tiebreak_0.05,39,2,90.0,19.0,21.0
carbonscaler_price_tiebreak_0.05,40,0,140.0,28.0,31.0
carbonscaler_price_tiebreak_0.05,41,0,200.0,40.0,46.0
carbonscaler_price_tiebreak_0.05,42,0,260.0,55.0,61.0
carbonscaler_price_tiebreak_0.05,43,0,300.0,64.0,70.0
carbonscaler_price_tiebreak_0.05,44,0,310.0,66.0,68.0
carbonscaler_price_tiebreak_0.05,45,0,305.0,63.0,62.0
carbonscaler_price_tiebreak_0.05,46,0,295.0,61.0,59.0
carbonscaler_price_tiebreak_0.05,47,0,290.0,59.0,58.0
carbonscaler_price_tiebreak_0.20,0,0,300.0,58.0,60.0
carbonscaler_price_tiebreak_0.20,1,0,290.0,55.0,57.0
carbonscaler_price_tiebreak_0.20,2,0,280.0,52.0,50.0
carbonscaler_price_tiebreak_0.20,3,0,270.0,49.0,47.0
carbonscaler_price_tiebreak_0.20,4,0,260.0,47.0,46.0
carbonscaler_price_tiebreak_0.20,5,0,250.0,45.0,44.0
carbonscaler_price_tiebreak_0.20,6,0,220.0,38.0,40.0
carbonscaler_price_tiebreak_0.20,7,0,180.0,30.0,33.0
carbonscaler_price_tiebreak_0.20,8,0,140.0,24.0,26.0
carbonscaler_price_tiebreak_0.20,9,2,100.0,18.0,17.0
carbonscaler_price_tiebreak_0.20,10,2,70.0,14.0,13.0
carbonscaler_price_tiebreak_0.20,11,2,50.0,11.0,10.0
carbonscaler_price_tiebreak_0.20,12,2,40.0,10.0,9.0
carbonscaler_price_tiebreak_0.20,13,2,45.0,11.0,12.0
carbonscaler_price_tiebreak_0.20,14,2,60.0,14.0,15.0
carbonscaler_price_tiebreak_0.20,15,1,90.0,19.0,21.0
carbonscaler_price_tiebreak_0.20,16,0,140.0,28.0,31.0
carbonscaler_price_tiebreak_0.20,17,0,200.0,40.0,46.0
carbonscaler_price_tiebreak_0.20,18,0,260.0,55.0,61.0
carbonscaler_price_tiebreak_0.20,19,0,300.0,64.0,70.0
carbonscaler_price_tiebreak_0.20,20,0,310.0,66.0,68.0
carbonscaler_price_tiebreak_0.20,21,0,305.0,63.0,62.0
carbonscaler_price_tiebreak_0.20,22,0,295.0,61.0,59.0
carbonscaler_price_tiebreak_0.20,23,0,290.0,59.0,58.0
carbonscaler_price_tiebreak_0.20,24,0,300.0,58.0,60.0
carbonscaler_price_tiebreak_0.20,25,0,290.0,55.0,57.0
carbonscaler_price_tiebreak_0.20,26,0,280.0,52.0,50.0
carbonscaler_price_tiebreak_0.20,27,0,270.0,49.0,47.0
carbonscaler_price_tiebreak_0.20,28,0,260.0,47.0,46.0
carbonscaler_price_tiebreak_0.20,29,0,250.0,45.0,44.0
carbonscaler_price_tiebreak_0.20,30,0,220.0,38.0,40.0
carbonscaler_price_tiebreak_0.20,31,0,180.0,30.0,33.0
carbonscaler_price_tiebreak_0.20,32,0,140.0,24.0,26.0
carbonscaler_price_tiebreak_0.20,33,2,100.0,18.0,17.0
carbonscaler_price_tiebreak_0.20,34,2,70.0,14.0,13.0
carbonscaler_price_tiebreak_0.20,35,2,50.0,11.0,10.0
carbonscaler_price_tiebreak_0.20,36,2,40.0,10.0,9.0
carbonscaler_price_tiebreak_0.20,37,2,45.0,11.0,12.0
carbonscaler_price_tiebreak_0.20,38,2,60.0,14.0,15.0
carbonscaler_price_tiebreak_0.20,39,1,90.0,19.0,21.0
carbonscaler_price_tiebreak_0.20,40,0,140.0,28.0,31.0
carbonscaler_price_tiebreak_0.20,41,0,200.0,40.0,46.0
carbonscaler_price_tiebreak_0.20,42,0,260.0,55.0,61.0
carbonscaler_price_tiebreak_0.20,43,0,300.0,64.0,70.0
carbonscaler_price_tiebreak_0.20,44,0,310.0,66.0,68.0
carbonscaler_price_tiebreak_0.20,45,0,305.0,63.0,62.0
carbonscaler_price_tiebreak_0.20,46,0,295.0,61.0,59.0
carbonscaler_price_tiebreak_0.20,47,0,290.0,59.0,58.0
