policy,policy_name,cluster_name,cluster_display_name,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster1,"Ontario, Canada",nbody100k,True,42,24.700000000000006,5.9399999999999995,386.7072,236.63673000000006,221.9110245,16,2,,0,,,,,,0.0,0.0,0.0
price_only_,price_only,cluster1,"Ontario, Canada",nbody100k,True,32,24.44000000000001,5.9268,568.7022,79.680876,109.29535100000003,14,2,,0,,,,,,-47.06273894046968,66.3277649247435,50.748120222391194
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",nbody100k,True,42,24.700000000000006,5.9399999999999995,386.7072,231.91971000000004,179.3685245,16,2,0.01,19,,,,,,0.0,1.9933591881530894,19.170971832451702
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",nbody100k,True,42,24.700000000000006,5.9399999999999995,386.7072,231.91971000000004,179.3685245,16,2,0.03,22,,,,,,0.0,1.9933591881530894,19.170971832451702
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",nbody100k,True,42,24.700000000000006,5.9399999999999995,386.7072,231.91971000000004,179.3685245,16,2,0.05,25,,,,,,0.0,1.9933591881530894,19.170971832451702
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",nbody100k,True,40,24.570000000000007,5.9334,387.86220000000003,211.91029200000003,108.1161345,15,2,0.1,26,,,,,,-0.298675587110876,10.449112443364148,51.27951180271352
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",nbody100k,True,46,24.700000000000006,5.94,399.59700000000004,203.74424400000004,96.83589850000003,16,2,0.2,26,,,,,,-3.3332195521573005,13.899991772198682,56.3627364984744
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,False,,22.220000000000002,5.2734,354.0042,188.15504400000003,114.82164100000001,17,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,8.456785909339152,20.48781100043092,48.25780230670784
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,False,,23.220000000000002,5.5043999999999995,369.2502,200.106984,117.89124600000001,18,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,4.514268159475694,15.437056622613081,46.8745429544894
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,41,24.090000000000003,5.7288,383.3874,208.2168,121.80702600000002,18,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,0.858478973238664,12.00994029963144,45.109970865823286
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,42,24.090000000000003,5.7288,378.9984,223.35885000000002,176.91958350000002,18,2,,0,1.0,0.01,0.5,,optionB_budget_sweep,1.9934462042599663,5.611081593292823,20.274540708994824
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,42,24.090000000000003,5.7288,378.9984,223.35885000000002,176.91958350000002,18,2,,0,1.1,0.01,0.5,,optionB_budget_sweep,1.9934462042599663,5.611081593292823,20.274540708994824
optionB_budget1.20_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,42,24.090000000000003,5.7288,378.9984,223.35885000000002,176.91958350000002,18,2,,0,1.2,0.01,0.5,,optionB_budget_sweep,1.9934462042599663,5.611081593292823,20.274540708994824
optionB_budget0.90_beta0.0025_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,False,,22.35,5.279999999999999,353.0274,212.24623200000005,217.73681600000003,18,2,,0,0.9,0.0025,0.5,,optionB_beta_sweep,8.709380120152922,10.307148006989449,1.881027997326903
optionB_budget0.90_beta0.0050_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,42,24.220000000000002,5.735399999999999,389.1162,212.50013400000003,174.70704350000003,19,2,,0,0.9,0.005,0.5,,optionB_beta_sweep,-0.6229519388312377,10.199851899576208,21.271579952531816
optionB_budget0.90_beta0.0100_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,41,24.090000000000003,5.7288,383.3874,208.2168,121.80702600000002,18,2,,0,0.9,0.01,0.5,,optionB_beta_sweep,0.858478973238664,12.00994029963144,45.109970865823286
optionB_budget0.90_beta0.0200_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,40,24.960000000000004,5.9532,401.45160000000004,206.29045800000006,113.75102199999999,18,2,,0,0.9,0.02,0.5,,optionB_beta_sweep,-3.812807209175325,12.823990595204723,48.74025648058779
optionB_budget0.90_beta0.0400_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,40,24.220000000000002,5.735399999999999,404.5932000000001,173.04302400000003,86.19746850000003,19,2,,0,0.9,0.04,0.5,,optionB_beta_sweep,-4.625204806116897,26.873979369136826,61.15674347670816
optionB_budget0.90_beta0.01_gamma0.10,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,41,24.960000000000004,5.9532,400.5276,211.62424800000002,125.08522949999998,18,2,,0,0.9,0.01,0.1,,optionB_gamma_sweep,-3.573866739486621,10.56999139567219,43.63271055061981
optionB_budget0.90_beta0.01_gamma0.25,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,41,24.960000000000004,5.9532,400.5276,211.62424800000002,125.08522949999998,18,2,,0,0.9,0.01,0.25,,optionB_gamma_sweep,-3.573866739486621,10.56999139567219,43.63271055061981
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,41,24.090000000000003,5.7288,383.3874,208.2168,121.80702600000002,18,2,,0,0.9,0.01,0.5,,optionB_gamma_sweep,0.858478973238664,12.00994029963144,45.109970865823286
optionB_budget0.90_beta0.01_gamma0.75,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,41,24.090000000000003,5.7288,383.3874,208.2168,121.80702600000002,18,2,,0,0.9,0.01,0.75,,optionB_gamma_sweep,0.858478973238664,12.00994029963144,45.109970865823286
optionB_budget0.90_beta0.01_gamma1.00,carbonscaler_budget,cluster1,"Ontario, Canada",nbody100k,True,41,24.090000000000003,5.7288,383.3874,208.2168,121.80702600000002,18,2,,0,0.9,0.01,1.0,,optionB_gamma_sweep,0.858478973238664,12.00994029963144,45.109970865823286
optionC_lambda0.50,carbonscaler_weighted,cluster1,"Ontario, Canada",nbody100k,True,36,24.700000000000006,5.9399999999999995,541.3518,87.981696,88.46755500000002,16,2,,0,,,,0.5,,-39.99010103768433,62.81993247624746,60.13377199292773
optionC_lambda0.60,carbonscaler_weighted,cluster1,"Ontario, Canada",nbody100k,True,39,24.090000000000003,5.728799999999999,478.63860000000005,108.51687000000001,70.64177450000001,18,2,,0,,,,0.6,,-23.772870016384502,54.14200069448222,68.16662233921596
optionC_lambda0.70,carbonscaler_weighted,cluster1,"Ontario, Canada",nbody100k,True,39,24.700000000000006,5.94,422.34720000000004,167.17186200000003,72.54738700000001,16,2,,0,,,,0.7,,-9.216275259421094,29.355065885164997,67.30789416007585
optionC_lambda0.80,carbonscaler_weighted,cluster1,"Ontario, Canada",nbody100k,True,39,24.570000000000007,5.933400000000001,399.87420000000003,189.84517200000002,87.0219845,15,2,,0,,,,0.8,,-3.4049016930639073,19.773582063950947,60.78519095836989
optionC_lambda0.90,carbonscaler_weighted,cluster1,"Ontario, Canada",nbody100k,True,40,24.44000000000001,5.9268,386.24519999999995,211.600884,107.74847050000002,14,2,,0,,,,0.9,,0.11947023484435923,10.57986475725896,51.445192620432415
