policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster1,"Ontario, Canada",ontario,nbody100k,True,138,24.44000000000001,5.9268,119.02440000000003,96.64003799999999,280.98887300000007,14,2,,0,,,,,,0.0,0.0,0.0
price_only,price_only,cluster1,"Ontario, Canada",ontario,nbody100k,True,131,24.44000000000001,5.9268,273.48420000000004,42.572112000000004,26.873357500000004,14,2,,0,,,,,,-129.77154264167683,55.94774910994964,90.43614887198754
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,138,24.44000000000001,5.9268,119.02440000000003,96.64003799999999,280.98887300000007,14,2,0.01,19,,,,,,0.0,0.0,0.0
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,138,24.44000000000001,5.9268,119.02440000000003,96.64003799999999,280.98887300000007,14,2,0.03,20,,,,,,0.0,0.0,0.0
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,138,24.44000000000001,5.9268,119.02440000000003,96.64003799999999,280.98887300000007,14,2,0.05,23,,,,,,0.0,0.0,0.0
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,138,24.44000000000001,5.9268,119.02440000000003,96.64003799999999,280.98887300000007,14,2,0.1,24,,,,,,0.0,0.0,0.0
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster1,"Ontario, Canada",ontario,nbody100k,True,137,24.31000000000001,5.9202,118.85940000000001,87.45046199999999,274.39747500000004,13,2,0.2,26,,,,,,0.13862703781747307,9.509077386745236,2.3457861265559883
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,22.570000000000007,5.4714,108.53700000000002,76.546866,262.43041000000005,13,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,8.811134523677502,20.79176748668083,6.6046967632059985
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,137,24.44000000000001,5.9268,121.53900000000002,80.97012000000001,270.4861445,14,2,,0,0.85,0.01,0.5,,optionB_budget_sweep,-2.112676056338017,16.2147266539775,3.737773808573567
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,False,,23.570000000000007,5.7024,114.31200000000003,86.84946599999999,269.06781000000007,14,2,,0,0.9,0.01,0.5,,optionB_budget_sweep,3.959188200066542,10.130968698501546,4.2425391698695485
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,138,24.44000000000001,5.9268,119.92200000000001,87.96248999999999,269.11381200000005,14,2,,0,1.0,0.01,0.5,,optionB_budget_sweep,-0.7541310857269456,8.979247297067497,4.226167703089088
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,cluster1,"Ontario, Canada",ontario,nbody100k,True,138,24.44000000000001,5.9268,119.02440000000003,96.64003799999999,280.98887300000007,14,2,,0,1.1,0.01,0.5,,optionB_budget_sweep,0.0,0.0,0.0
