policy,policy_name,sector_slug,slot_index,scale,carbon_intensity,day_ahead_price,real_time_price
carbonscaler_base,carbonscaler,ontario,0,0,162.0,57.86,110.24083333333334
carbonscaler_base,carbonscaler,ontario,1,0,160.0,58.35,97.60333333333334
carbonscaler_base,carbonscaler,ontario,2,0,157.0,83.36,125.92166666666667
carbonscaler_base,carbonscaler,ontario,3,0,160.0,56.74,122.68
carbonscaler_base,carbonscaler,ontario,4,0,166.0,60.66,77.08416666666668
carbonscaler_base,carbonscaler,ontario,5,0,171.0,109.68,64.17333333333333
carbonscaler_base,carbonscaler,ontario,6,0,173.0,105.96,58.175000000000004
carbonscaler_base,carbonscaler,ontario,7,0,172.0,94.0,51.43416666666667
carbonscaler_base,carbonscaler,ontario,8,0,173.0,66.68,68.8325
carbonscaler_base,carbonscaler,ontario,9,0,168.0,50.45,46.9075
carbonscaler_base,carbonscaler,ontario,10,0,158.0,50.94,50.75
carbonscaler_base,carbonscaler,ontario,11,0,152.0,42.35,63.693333333333335
carbonscaler_base,carbonscaler,ontario,12,0,156.0,37.92,41.94416666666667
carbonscaler_base,carbonscaler,ontario,13,0,150.0,37.85,35.766666666666666
carbonscaler_base,carbonscaler,ontario,14,0,142.0,38.19,38.446666666666665
carbonscaler_base,carbonscaler,ontario,15,0,137.0,42.44,43.218333333333334
carbonscaler_base,carbonscaler,ontario,16,0,140.0,55.17,51.36333333333334
carbonscaler_base,carbonscaler,ontario,17,0,147.0,80.9,77.46333333333332
carbonscaler_base,carbonscaler,ontario,18,0,148.0,89.41,49.665
carbonscaler_base,carbonscaler,ontario,19,0,150.0,80.62,51.862500000000004
carbonscaler_base,carbonscaler,ontario,20,0,151.0,75.16,71.33999999999999
carbonscaler_base,carbonscaler,ontario,21,0,148.0,59.01,79.41166666666666
carbonscaler_base,carbonscaler,ontario,22,0,147.0,56.11,114.545
carbonscaler_base,carbonscaler,ontario,23,0,146.0,44.3,56.04
carbonscaler_base,carbonscaler,ontario,24,0,147.0,53.28,39.01083333333333
carbonscaler_base,carbonscaler,ontario,25,0,148.0,51.11,37.595
carbonscaler_base,carbonscaler,ontario,26,0,152.0,48.29,35.446666666666665
carbonscaler_base,carbonscaler,ontario,27,0,152.0,51.46,34.93
carbonscaler_base,carbonscaler,ontario,28,0,152.0,47.34,28.049166666666665
carbonscaler_base,carbonscaler,ontario,29,0,148.0,36.66,21.1925
carbonscaler_base,carbonscaler,ontario,30,0,145.0,45.22,21.8325
carbonscaler_base,carbonscaler,ontario,31,0,150.0,66.48,36.1025
carbonscaler_base,carbonscaler,ontario,32,0,152.0,58.44,36.70916666666667
carbonscaler_base,carbonscaler,ontario,33,0,156.0,53.47,33.60166666666667
carbonscaler_base,carbonscaler,ontario,34,0,161.0,51.32,28.893333333333334
carbonscaler_base,carbonscaler,ontario,35,0,159.0,44.74,32.985
carbonscaler_base,carbonscaler,ontario,36,0,156.0,49.28,31.589166666666667
carbonscaler_base,carbonscaler,ontario,37,0,157.0,45.69,35.68
carbonscaler_base,carbonscaler,ontario,38,0,160.0,48.67,44.685
carbonscaler_base,carbonscaler,ontario,39,0,160.0,47.09,49.46083333333333
carbonscaler_base,carbonscaler,ontario,40,0,161.0,57.42,55.843333333333334
carbonscaler_base,carbonscaler,ontario,41,0,160.0,73.1,302.78833333333336
carbonscaler_base,carbonscaler,ontario,42,0,160.0,77.97,269.44416666666666
carbonscaler_base,carbonscaler,ontario,43,0,161.0,73.65,61.23666666666667
carbonscaler_base,carbonscaler,ontario,44,0,162.0,69.29,53.685833333333335
carbonscaler_base,carbonscaler,ontario,45,0,167.0,53.73,86.22333333333334
carbonscaler_base,carbonscaler,ontario,46,0,171.0,48.81,79.7675
carbonscaler_base,carbonscaler,ontario,47,0,171.0,46.53,47.027499999999996
carbonscaler_base,carbonscaler,ontario,48,0,172.0,50.0,42.475833333333334
carbonscaler_base,carbonscaler,ontario,49,0,170.0,45.5,39.63333333333333
carbonscaler_base,carbonscaler,ontario,50,0,169.0,45.09,38.295
carbonscaler_base,carbonscaler,ontario,51,0,166.0,40.89,35.704166666666666
carbonscaler_base,carbonscaler,ontario,52,0,165.0,44.14,41.19416666666667
carbonscaler_base,carbonscaler,ontario,53,0,160.0,38.38,40.19416666666667
carbonscaler_base,carbonscaler,ontario,54,0,153.0,49.13,58.81916666666667
