policy,policy_name,sector_slug,slot_index,scale,carbon_intensity,day_ahead_price,real_time_price
carbonscaler_base,carbonscaler,texas,0,0,302.0,13.9467,20.1881
carbonscaler_base,carbonscaler,texas,1,0,319.0,16.1462,0.0
carbonscaler_base,carbonscaler,texas,2,0,308.0,15.3586,9.074
carbonscaler_base,carbonscaler,texas,3,0,308.0,14.3816,20.141
carbonscaler_base,carbonscaler,texas,4,0,295.0,21.0352,23.0775
carbonscaler_base,carbonscaler,texas,5,0,280.0,22.2994,15.0627
carbonscaler_base,carbonscaler,texas,6,0,272.0,65.3387,56.0506
carbonscaler_base,carbonscaler,texas,7,0,267.0,58.1152,51.7794
carbonscaler_base,carbonscaler,texas,8,0,266.0,32.0913,38.4514
carbonscaler_base,carbonscaler,texas,9,0,267.0,27.6999,13.1846
carbonscaler_base,carbonscaler,texas,10,0,273.0,26.429,0.0
carbonscaler_base,carbonscaler,texas,11,0,289.0,28.7805,56.232
carbonscaler_base,carbonscaler,texas,12,0,305.0,30.2269,30.8602
carbonscaler_base,carbonscaler,texas,13,0,264.0,36.1841,40.423
carbonscaler_base,carbonscaler,texas,14,0,209.0,34.0654,37.4336
carbonscaler_base,carbonscaler,texas,15,1,179.0,39.6546,198.9686
carbonscaler_base,carbonscaler,texas,16,2,171.0,52.6389,36.4823
carbonscaler_base,carbonscaler,texas,17,2,166.0,72.276,51.8957
carbonscaler_base,carbonscaler,texas,18,2,167.0,80.77,94.9352
carbonscaler_base,carbonscaler,texas,19,1,177.0,92.3328,81.4032
carbonscaler_base,carbonscaler,texas,20,1,188.0,68.2369,84.0329
carbonscaler_base,carbonscaler,texas,21,1,190.0,41.6758,36.7988
carbonscaler_base,carbonscaler,texas,22,0,208.0,40.7687,47.1826
carbonscaler_base,carbonscaler,texas,23,0,253.0,30.1957,32.3334
carbonscaler_base,carbonscaler,texas,24,0,301.0,13.6675,17.572
carbonscaler_base,carbonscaler,texas,25,0,309.0,9.0125,5.2249
carbonscaler_base,carbonscaler,texas,26,0,311.0,13.9932,25.897
carbonscaler_base,carbonscaler,texas,27,0,310.0,12.9839,17.1358
carbonscaler_base,carbonscaler,texas,28,0,298.0,14.9521,25.1798
carbonscaler_base,carbonscaler,texas,29,0,285.0,24.6012,38.04
carbonscaler_base,carbonscaler,texas,30,0,277.0,49.9226,58.3182
carbonscaler_base,carbonscaler,texas,31,0,278.0,41.4275,66.3806
carbonscaler_base,carbonscaler,texas,32,0,281.0,41.9526,296.2193
carbonscaler_base,carbonscaler,texas,33,0,284.0,33.7843,25.9035
carbonscaler_base,carbonscaler,texas,34,0,291.0,28.426,21.0836
carbonscaler_base,carbonscaler,texas,35,0,305.0,33.5453,35.7574
carbonscaler_base,carbonscaler,texas,36,0,297.0,35.1917,42.8001
carbonscaler_base,carbonscaler,texas,37,0,237.0,32.6634,63.9218
carbonscaler_base,carbonscaler,texas,38,0,204.0,37.2875,45.2402
carbonscaler_base,carbonscaler,texas,39,1,183.0,39.8116,55.5162
carbonscaler_base,carbonscaler,texas,40,2,174.0,58.1383,64.0091
carbonscaler_base,carbonscaler,texas,41,2,168.0,63.4521,73.5571
carbonscaler_base,carbonscaler,texas,42,1,177.0,78.2341,96.4413
carbonscaler_base,carbonscaler,texas,43,1,187.0,68.6211,74.5894
carbonscaler_base,carbonscaler,texas,44,1,195.0,61.0572,66.4295
carbonscaler_base,carbonscaler,texas,45,0,205.0,42.118,52.4545
carbonscaler_base,carbonscaler,texas,46,0,220.0,33.5701,38.1231
carbonscaler_base,carbonscaler,texas,47,0,263.0,37.6098,42.9023
carbonscaler_base,carbonscaler,texas,48,0,324.0,12.4222,10.6107
carbonscaler_base,carbonscaler,texas,49,0,336.0,20.5907,36.558
carbonscaler_base,carbonscaler,texas,50,0,338.0,22.3787,33.724
carbonscaler_base,carbonscaler,texas,51,0,337.0,22.227,26.3687
carbonscaler_base,carbonscaler,texas,52,0,341.0,24.1364,17.9149
carbonscaler_base,carbonscaler,texas,53,0,341.0,31.0528,27.5602
carbonscaler_base,carbonscaler,texas,54,0,344.0,48.6504,58.0322
carbonscaler_base,carbonscaler,texas,55,0,354.0,43.9228,56.5001
carbonscaler_base,carbonscaler,texas,56,0,364.0,43.2798,34.707
carbonscaler_base,carbonscaler,texas,57,0,365.0,42.5602,27.2332
carbonscaler_base,carbonscaler,texas,58,0,364.0,43.941,17.4787
carbonscaler_base,carbonscaler,texas,59,0,363.0,43.7981,37.8509
carbonscaler_base,carbonscaler,texas,60,0,361.0,43.2337,24.4862
carbonscaler_base,carbonscaler,texas,61,0,303.0,36.375,39.0092
carbonscaler_base,carbonscaler,texas,62,0,236.0,39.5311,40.7373
carbonscaler_base,carbonscaler,texas,63,0,224.0,53.3232,48.5899
carbonscaler_base,carbonscaler,texas,64,0,216.0,64.2538,63.9245
carbonscaler_base,carbonscaler,texas,65,0,209.0,71.7945,71.5432
carbonscaler_base,carbonscaler,texas,66,0,210.0,85.4388,81.5958
carbonscaler_base,carbonscaler,texas,67,0,209.0,74.0596,111.9436
carbonscaler_base,carbonscaler,texas,68,0,206.0,61.5343,57.8417
carbonscaler_base,carbonscaler,texas,69,0,219.0,45.7469,50.0796
carbonscaler_base,carbonscaler,texas,70,0,243.0,37.9128,44.3783
carbonscaler_base,carbonscaler,texas,71,0,291.0,32.1831,31.8185
carbonscaler_base,carbonscaler,texas,72,0,330.0,19.2161,17.7064
carbonscaler_base,carbonscaler,texas,73,0,345.0,20.8922,29.2352
carbonscaler_base,carbonscaler,texas,74,0,354.0,17.7081,7.8224
carbonscaler_base,carbonscaler,texas,75,0,363.0,24.4054,0.0
carbonscaler_base,carbonscaler,texas,76,0,369.0,20.3497,12.5026
carbonscaler_base,carbonscaler,texas,77,0,372.0,27.2677,7.906
carbonscaler_base,carbonscaler,texas,78,0,359.0,43.7411,45.1078
carbonscaler_base,carbonscaler,texas,79,0,359.0,48.5135,38.3446
carbonscaler_base,carbonscaler,texas,80,0,357.0,45.4746,55.4055
carbonscaler_base,carbonscaler,texas,81,0,357.0,46.7333,34.9812
