policy,policy_name,cluster_name,cluster_display_name,sector_slug,workload_name,completed,completion_slot,total_work,total_energy_kwh,total_carbon_grams,total_day_ahead_cost,total_real_time_cost,active_slots,max_scale_used,tie_threshold_ratio,tie_break_used_count,cost_budget_ratio,cost_penalty_beta,urgency_gamma,lambda_carbon,sweep_group,carbon_savings_vs_base_pct,day_ahead_cost_savings_vs_base_pct,real_time_cost_savings_vs_base_pct
carbonscaler_base,carbonscaler,cluster4,"Texas, US",texas,nbody100k,True,164,24.35,5.927788500000001,1063.3181397,358.00391083910995,440.51568976248,20,2,,0,,,,,,0.0,0.0,0.0
price_only,price_only,cluster4,"Texas, US",texas,nbody100k,True,157,24.570000000000007,6.125113200000001,2318.617839000001,50.73235556684999,92.13487982973001,15,2,,0,,,,,,-118.05495010685753,85.82910576369386,79.0847677004631
optionA_tie_0.01,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,164,24.35,5.927788500000001,1063.3181397,358.00391083910995,440.51568976248,20,2,0.01,17,,,,,,0.0,0.0,0.0
optionA_tie_0.03,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,163,24.090000000000003,5.914068900000001,1053.4762026,344.76768127260004,510.69669250959,18,2,0.03,22,,,,,,0.9255872473666965,3.6972304396022033,-15.931555760238778
optionA_tie_0.05,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,164,24.35,5.927788500000001,1063.3181397,358.00391083910995,440.51568976248,20,2,0.05,22,,,,,,0.0,0.0,0.0
optionA_tie_0.10,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,164,24.35,5.927788500000001,1063.3181397,358.00391083910995,440.51568976248,20,2,0.1,24,,,,,,0.0,0.0,0.0
optionA_tie_0.20,carbonscaler_price_tiebreak,cluster4,"Texas, US",texas,nbody100k,True,165,24.960000000000004,6.145692600000001,1139.2725870000004,304.93593089238004,469.17986428509005,18,2,0.2,26,,,,,,-7.143153536478722,14.823296154040928,-6.5069588186666785
optionB_budget0.80_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,False,,22.87,5.478260700000001,1027.0084413000002,285.96125404845003,385.19822171004006,22,2,,0,0.8,0.01,0.5,,optionB_budget_sweep,3.4147539710217063,20.123427317260933,12.5574342385549
optionB_budget0.85_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,164,24.0,5.723604000000001,1115.625813,303.79874092290004,393.9142625844,24,1,,0,0.85,0.01,0.5,,optionB_budget_sweep,-4.91928721490239,15.140943513483062,10.578834820436674
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1064.1133770000001,315.15298805460003,408.45023733135,24,1,,0,0.9,0.01,0.5,,optionB_budget_sweep,-0.07478827552254665,11.969400748744194,7.279071591847099
optionB_budget1.00_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1064.1133770000001,315.15298805460003,408.45023733135,24,1,,0,1.0,0.01,0.5,,optionB_budget_sweep,-0.07478827552254665,11.969400748744194,7.279071591847099
optionB_budget1.10_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1064.1133770000001,315.15298805460003,408.45023733135,24,1,,0,1.1,0.01,0.5,,optionB_budget_sweep,-0.07478827552254665,11.969400748744194,7.279071591847099
optionB_budget1.20_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1064.1133770000001,315.15298805460003,408.45023733135,24,1,,0,1.2,0.01,0.5,,optionB_budget_sweep,-0.07478827552254665,11.969400748744194,7.279071591847099
optionB_budget0.90_beta0.0025_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1066.4982120000002,318.39233328345006,413.01297519840006,24,1,,0,0.9,0.0025,0.5,,optionB_beta_sweep,-0.29907063382717536,11.064565597290828,6.24329966065659
optionB_budget0.90_beta0.0050_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1066.4982120000002,318.39233328345006,413.01297519840006,24,1,,0,0.9,0.005,0.5,,optionB_beta_sweep,-0.29907063382717536,11.064565597290828,6.24329966065659
optionB_budget0.90_beta0.0100_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1064.1133770000001,315.15298805460003,408.45023733135,24,1,,0,0.9,0.01,0.5,,optionB_beta_sweep,-0.07478827552254665,11.969400748744194,7.279071591847099
optionB_budget0.90_beta0.0200_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1082.238123,285.27095780790006,386.53183890345,24,1,,0,0.9,0.02,0.5,,optionB_beta_sweep,-1.7793341986376734,20.316245389815506,12.254694239866312
optionB_budget0.90_beta0.0400_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.87,5.955227700000001,1152.4592316,265.5236275341601,361.33824052841993,24,2,,0,0.9,0.04,0.5,,optionB_beta_sweep,-8.383294573075737,25.83219917575462,17.973809122837707
optionB_budget0.90_beta0.01_gamma0.10,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1064.1133770000001,315.15298805460003,408.45023733135,24,1,,0,0.9,0.01,0.1,,optionB_gamma_sweep,-0.07478827552254665,11.969400748744194,7.279071591847099
optionB_budget0.90_beta0.01_gamma0.25,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1064.1133770000001,315.15298805460003,408.45023733135,24,1,,0,0.9,0.01,0.25,,optionB_gamma_sweep,-0.07478827552254665,11.969400748744194,7.279071591847099
optionB_budget0.90_beta0.01_gamma0.50,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1064.1133770000001,315.15298805460003,408.45023733135,24,1,,0,0.9,0.01,0.5,,optionB_gamma_sweep,-0.07478827552254665,11.969400748744194,7.279071591847099
optionB_budget0.90_beta0.01_gamma0.75,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1064.1133770000001,315.15298805460003,408.45023733135,24,1,,0,0.9,0.01,0.75,,optionB_gamma_sweep,-0.07478827552254665,11.969400748744194,7.279071591847099
optionB_budget0.90_beta0.01_gamma1.00,carbonscaler_budget,cluster4,"Texas, US",texas,nbody100k,True,165,24.0,5.723604000000001,1064.1133770000001,315.15298805460003,408.45023733135,24,1,,0,0.9,0.01,1.0,,optionB_gamma_sweep,-0.07478827552254665,11.969400748744194,7.279071591847099
