timestamp,carbon_intensity
2026-01-01T00:00:00,40
2026-01-01T01:00:00,38
2026-01-01T02:00:00,36
2026-01-01T03:00:00,35
2026-01-01T04:00:00,34
2026-01-01T05:00:00,36
2026-01-01T06:00:00,42
2026-01-01T07:00:00,55
2026-01-01T08:00:00,70
2026-01-01T09:00:00,75
2026-01-01T10:00:00,72
2026-01-01T11:00:00,68
2026-01-01T12:00:00,65
2026-01-01T13:00:00,62
2026-01-01T14:00:00,60
2026-01-01T15:00:00,58
2026-01-01T16:00:00,60
2026-01-01T17:00:00,68
2026-01-01T18:00:00,72
2026-01-01T19:00:00,65
2026-01-01T20:00:00,58
2026-01-01T21:00:00,50
2026-01-01T22:00:00,45
2026-01-01T23:00:00,42
