timestamp,day_ahead_price,real_time_price
2026-01-01T00:00:00,28,29
2026-01-01T01:00:00,27,26
2026-01-01T02:00:00,26,25
2026-01-01T03:00:00,25,24
2026-01-01T04:00:00,25,25
2026-01-01T05:00:00,26,27
2026-01-01T06:00:00,29,31
2026-01-01T07:00:00,34,36
2026-01-01T08:00:00,39,41
2026-01-01T09:00:00,42,43
2026-01-01T10:00:00,40,39
2026-01-01T11:00:00,37,36
2026-01-01T12:00:00,35,34
2026-01-01T13:00:00,34,33
2026-01-01T14:00:00,33,32
2026-01-01T15:00:00,32,33
2026-01-01T16:00:00,34,35
2026-01-01T17:00:00,38,40
2026-01-01T18:00:00,41,43
2026-01-01T19:00:00,39,38
2026-01-01T20:00:00,35,34
2026-01-01T21:00:00,32,31
2026-01-01T22:00:00,30,29
2026-01-01T23:00:00,29,28
