timestamp,day_ahead_price,real_time_price
2026-01-01T00:00:00,58,60
2026-01-01T01:00:00,55,57
2026-01-01T02:00:00,52,50
2026-01-01T03:00:00,49,47
2026-01-01T04:00:00,47,46
2026-01-01T05:00:00,45,44
2026-01-01T06:00:00,38,40
2026-01-01T07:00:00,30,33
2026-01-01T08:00:00,24,26
2026-01-01T09:00:00,18,17
2026-01-01T10:00:00,14,13
2026-01-01T11:00:00,11,10
2026-01-01T12:00:00,10,9
2026-01-01T13:00:00,11,12
2026-01-01T14:00:00,14,15
2026-01-01T15:00:00,19,21
2026-01-01T16:00:00,28,31
2026-01-01T17:00:00,40,46
2026-01-01T18:00:00,55,61
2026-01-01T19:00:00,64,70
2026-01-01T20:00:00,66,68
2026-01-01T21:00:00,63,62
2026-01-01T22:00:00,61,59
2026-01-01T23:00:00,59,58
