timestamp,day_ahead_price,real_time_price
2026-01-01T00:00:00,72,74
2026-01-01T01:00:00,70,71
2026-01-01T02:00:00,68,67
2026-01-01T03:00:00,66,65
2026-01-01T04:00:00,65,64
2026-01-01T05:00:00,64,63
2026-01-01T06:00:00,62,64
2026-01-01T07:00:00,60,62
2026-01-01T08:00:00,58,59
2026-01-01T09:00:00,56,55
2026-01-01T10:00:00,54,53
2026-01-01T11:00:00,52,51
2026-01-01T12:00:00,50,49
2026-01-01T13:00:00,51,52
2026-01-01T14:00:00,53,54
2026-01-01T15:00:00,56,58
2026-01-01T16:00:00,60,63
2026-01-01T17:00:00,65,68
2026-01-01T18:00:00,70,73
2026-01-01T19:00:00,74,77
2026-01-01T20:00:00,76,79
2026-01-01T21:00:00,75,76
2026-01-01T22:00:00,74,73
2026-01-01T23:00:00,73,72
