timestamp,day_ahead_price,real_time_price
2026-01-01T00:00:00,48,50
2026-01-01T01:00:00,44,46
2026-01-01T02:00:00,40,38
2026-01-01T03:00:00,36,34
2026-01-01T04:00:00,34,33
2026-01-01T05:00:00,32,31
2026-01-01T06:00:00,29,30
2026-01-01T07:00:00,26,28
2026-01-01T08:00:00,24,23
2026-01-01T09:00:00,27,29
2026-01-01T10:00:00,31,34
2026-01-01T11:00:00,35,38
2026-01-01T12:00:00,39,42
2026-01-01T13:00:00,43,45
2026-01-01T14:00:00,46,49
2026-01-01T15:00:00,49,54
2026-01-01T16:00:00,53,59
2026-01-01T17:00:00,58,66
2026-01-01T18:00:00,63,72
2026-01-01T19:00:00,67,74
2026-01-01T20:00:00,61,64
2026-01-01T21:00:00,56,58
2026-01-01T22:00:00,53,52
2026-01-01T23:00:00,50,49
