timestamp,carbon_intensity
2026-01-01T00:00:00,350
2026-01-01T01:00:00,340
2026-01-01T02:00:00,330
2026-01-01T03:00:00,320
2026-01-01T04:00:00,310
2026-01-01T05:00:00,300
2026-01-01T06:00:00,260
2026-01-01T07:00:00,200
2026-01-01T08:00:00,150
2026-01-01T09:00:00,110
2026-01-01T10:00:00,80
2026-01-01T11:00:00,60
2026-01-01T12:00:00,55
2026-01-01T13:00:00,65
2026-01-01T14:00:00,90
2026-01-01T15:00:00,130
2026-01-01T16:00:00,180
2026-01-01T17:00:00,240
2026-01-01T18:00:00,300
2026-01-01T19:00:00,340
2026-01-01T20:00:00,360
2026-01-01T21:00:00,370
2026-01-01T22:00:00,365
2026-01-01T23:00:00,355
