timestamp,day_ahead_price,real_time_price
2026-01-01T00:00:00,60,62
2026-01-01T01:00:00,57,58
2026-01-01T02:00:00,54,52
2026-01-01T03:00:00,51,49
2026-01-01T04:00:00,48,47
2026-01-01T05:00:00,45,44
2026-01-01T06:00:00,38,39
2026-01-01T07:00:00,30,32
2026-01-01T08:00:00,23,25
2026-01-01T09:00:00,17,18
2026-01-01T10:00:00,13,12
2026-01-01T11:00:00,11,10
2026-01-01T12:00:00,10,9
2026-01-01T13:00:00,11,12
2026-01-01T14:00:00,14,16
2026-01-01T15:00:00,20,22
2026-01-01T16:00:00,29,33
2026-01-01T17:00:00,40,47
2026-01-01T18:00:00,52,60
2026-01-01T19:00:00,61,69
2026-01-01T20:00:00,66,71
2026-01-01T21:00:00,68,67
2026-01-01T22:00:00,65,63
2026-01-01T23:00:00,62,60
